Date,Chl-a
1998-01-31,0.141
1998-02-28,0.1644
1998-03-31,0.2144
1998-04-30,0.1342
1998-05-31,0.1504
1998-06-30,0.0647
1998-07-31,0.06
1998-08-31,0.0705
1998-09-30,0.0743
1998-10-31,0.0861
1998-11-30,0.0728
1998-12-31,0.1431
1999-01-31,0.2029
1999-02-28,0.1715
1999-03-31,0.2554
1999-04-30,0.1841
1999-05-31,0.1021
1999-06-30,0.09
1999-07-31,0.0758
1999-08-31,0.06104
1999-09-30,0.06573
1999-10-31,0.09906
1999-11-30,0.1462
1999-12-31,0.1912
2000-01-31,0.2096
2000-02-29,0.295
2000-03-31,0.2163
2000-04-30,0.2378
2000-05-31,0.0699
2000-06-30,0.0697
2000-07-31,0.0667
2000-08-31,0.06915
2000-09-30,0.06635
2000-10-31,0.08026
2000-11-30,0.08545
2000-12-31,0.1554
2001-01-31,0.2008
2001-02-28,0.2484
2001-03-31,0.1685
2001-04-30,0.1373
2001-05-31,0.117
2001-06-30,0.071
2001-07-31,0.07794
2001-08-31,0.0701
2001-09-30,0.0928
2001-10-31,0.0902
2001-11-30,0.1277
2001-12-31,0.1475
2002-01-31,0.2515
2002-02-28,0.4688
2002-03-31,0.2783
2002-04-30,0.2407
2002-05-31,0.1214
2002-06-30,0.0945
2002-07-31,0.10565
2002-08-31,0.0811
2002-09-30,0.1009
2002-10-31,0.1037
2002-11-30,0.1089
2002-12-31,0.1843
2003-01-31,0.1898
2003-02-28,0.1968
2003-03-31,0.3145
2003-04-30,0.222
2003-05-31,0.121
2003-06-30,0.1444
2003-07-31,0.08405
2003-08-31,0.08636
2003-09-30,0.08295
2003-10-31,0.1129
2003-11-30,0.1515
2003-12-31,0.229
2004-01-31,0.186
2004-02-29,0.2019
2004-03-31,0.3062
2004-04-30,0.4226
2004-05-31,0.2441
2004-06-30,0.0952
2004-07-31,0.09875
2004-08-31,0.0781
2004-09-30,0.09406
2004-10-31,0.1013
2004-11-30,0.1209
2004-12-31,0.2646
2005-01-31,0.2788
2005-02-28,0.2019
2005-03-31,0.341
2005-04-30,0.2489
2005-05-31,0.1425
2005-06-30,0.1365
2005-07-31,0.07654
2005-08-31,0.0864
2005-09-30,0.0885
2005-10-31,0.104
2005-11-30,0.134
2005-12-31,0.1821
2006-01-31,0.2788
2006-02-28,0.1986
2006-03-31,0.3135
2006-04-30,0.19
2006-05-31,0.1214
2006-06-30,0.1277
2006-07-31,0.0931
2006-08-31,0.09674
2006-09-30,0.09705
2006-10-31,0.1042
2006-11-30,0.12305
2006-12-31,0.1831
2007-01-31,0.1876
2007-02-28,0.2517
2007-03-31,0.192
2007-04-30,0.149
2007-05-31,0.0829
2007-06-30,0.05612
2007-07-31,0.0814
2007-08-31,0.0873
2007-09-30,0.07776
2007-10-31,0.0803
2007-11-30,0.11053
2007-12-31,0.1345
2008-01-31,0.2058
2008-02-29,0.1948
2008-03-31,0.2126
2008-04-30,0.294
2008-05-31,0.08417
2008-06-30,0.0722
2008-07-31,0.0684
2008-08-31,0.05673
2008-09-30,0.06866
2008-10-31,0.10095
2008-11-30,0.1506
2008-12-31,0.2231
2009-01-31,0.277
2009-02-28,0.3022
2009-03-31,0.509
2009-04-30,0.2644
2009-05-31,0.1344
2009-06-30,0.1159
2009-07-31,0.0968
2009-08-31,0.0854
2009-09-30,0.09753
2009-10-31,0.09985
2009-11-30,0.1354
2009-12-31,0.1409
2010-01-31,0.3403
2010-02-28,0.3633
2010-03-31,0.2666
2010-04-30,0.2119
2010-05-31,0.1083
2010-06-30,0.08527
2010-07-31,0.0674
2010-08-31,0.0694
2010-09-30,0.06665
2010-10-31,0.08813
2010-11-30,0.1137
2010-12-31,0.2278
2011-01-31,0.247
2011-02-28,0.2874
2011-03-31,0.2754
2011-04-30,0.3047
2011-05-31,0.1919
2011-06-30,0.1239
2011-07-31,0.1108
2011-08-31,0.0802
2011-09-30,0.0979
2011-10-31,0.1051
2011-11-30,0.1494
2011-12-31,0.1886
2012-01-31,0.1935
2012-02-29,0.2942
2012-03-31,0.4524
2012-04-30,0.1997
2012-05-31,0.1515
2012-06-30,0.07666
2012-07-31,0.07104
2012-08-31,0.0558
2012-09-30,0.0663
2012-10-31,0.08936
2012-11-30,0.1313
2012-12-31,0.2366
2013-01-31,0.1874
2013-02-28,0.2294
2013-03-31,0.2495
2013-04-30,0.2131
2013-05-31,0.1705
2013-06-30,0.0818
2013-07-31,0.0812
2013-08-31,0.0896
2013-09-30,0.09216
2013-10-31,0.0832
2013-11-30,0.1238
2013-12-31,0.1865
2014-01-31,0.2212
2014-02-28,0.2487
2014-03-31,0.2788
2014-04-30,0.2625
2014-05-31,0.12067
2014-06-30,0.0823
2014-07-31,0.0862
2014-08-31,0.06696
2014-09-30,0.07434
2014-10-31,0.0852
2014-11-30,0.1245
2014-12-31,0.2505
2015-01-31,0.2812
2015-02-28,0.2585
2015-03-31,0.3774
2015-04-30,0.239
2015-05-31,0.2067
2015-06-30,0.12286
2015-07-31,0.0885
2015-08-31,0.09094
2015-09-30,0.09863
2015-10-31,0.0982
2015-11-30,0.1501
2015-12-31,0.1877
2016-01-31,0.2214
2016-02-29,0.3062
2016-03-31,0.2993
2016-04-30,0.329
2016-05-31,0.1584
2016-06-30,0.1135
2016-07-31,0.0717
2016-08-31,0.0871
2016-09-30,0.0864
2016-10-31,0.08514
2016-11-30,0.1348
2016-12-31,0.2012
2017-01-31,0.2311
2017-02-28,0.3052
2017-03-31,0.2024
2017-04-30,0.1208
2017-05-31,0.0753
2017-06-30,0.0816
2017-07-31,0.08
2017-08-31,0.08545
2017-09-30,0.08203
2017-10-31,0.09454
2017-11-30,0.12305
2017-12-31,0.155
2018-01-31,0.1971
2018-02-28,0.2496
2018-03-31,0.3098
2018-04-30,0.2532
2018-05-31,0.1968
2018-06-30,0.09705
2018-07-31,0.09766
2018-08-31,0.1041
2018-09-30,0.10913
2018-10-31,0.12146
2018-11-30,0.1671
2018-12-31,0.1866
2019-01-31,0.2251
2019-02-28,0.2585
2019-03-31,0.1952
2019-04-30,0.1344
2019-05-31,0.0833
2019-06-30,0.0748
2019-07-31,0.0728
2019-08-31,0.06946
2019-09-30,0.0776
2019-10-31,0.0935
2019-11-30,0.1453
2019-12-31,0.184
2020-01-31,0.1925
2020-02-29,0.1555
2020-03-31,0.1797
2020-04-30,0.1415
2020-05-31,0.0653
2020-06-30,0.072
2020-07-31,0.0858
2020-08-31,0.07104
2020-09-30,0.0914
2020-10-31,0.1075
2020-11-30,0.1361
2020-12-31,0.2089
